,State,RecidivismRate,PercentMale,PercentFemale,PercentAsian,PercentWhite,PercentBlack,PercentNativeAmerican,PercentOfPopInPrison,TotalViolentCrimes,TotalNonviolentCrimes,OtherCrimes,AverageQOLScore
22,Oklahoma,25,0.5,0.210976401818575,0.00711109630789215,0.450288940330075,0.162206271753793,0.0769397305444069,0.00558456783024242,18843,40106,26473,34.8
23,Connecticut,37,0.5,0.196830042380129,0.00521674680248579,0.446483209487067,0.228415591326327,0.00346832893061442,0.00274498247515897,18986,31063,23406,26.4
24,Nevada,28.6,0.5,0.197050396940591,0.0174931529325643,0.43536620767124,0.217623152553925,0.00969948631217579,0.00315657357824884,33913,41883,35051,30.4
25,Iowa,34.2,0.5,0.202424253614224,0.0100441276933587,0.51478923948967,0.155000830856151,0.00742231494987168,0.00288293524455435,15692,35377,25112,20.8
26,Arkansas,57,0.5,0.225411574454548,0.00489117467723549,0.46606001961772,0.235246944672729,0.0016701572068609,0.00564443065788443,20165,39668,49686,35.2
27,Kansas,36,0.5,0.207154977375566,0.00652472527472527,0.544774159663866,0.149220265029089,0.00663582740788623,0.0028378048115435,15634,31907,22500,24.6
28,Mississippi,33,0.5,0.199378640776699,0.00185113268608414,0.288336569579288,0.38988996763754,0.0038705501618123,0.00659147243756042,6842,30064,17148,37.8
29,New Mexico,49.1,0.5,0.198516279708751,0.00240417639785685,0.484379722489353,0.0385080368182443,0.137051792828685,0.00254147858285577,15239,20374,15279,36.8
30,Nebraska,25.5,0.5,0.217125658389767,0.0104288939051919,0.519292701279157,0.138540255831452,0.0353498871331828,0.00277092843804305,8352,27540,11858,25.6
31,Idaho,31,0.5,0.21693751182976,0.00770624340913393,0.605629613606252,0.0217802774247627,0.0309736906146067,0.00456530438609945,7278,26250,19589,15.8
32,West Virginia,24,0.5,0.192700291645222,0.00135100360267627,0.507677131583462,0.0738119746097101,0.000557557042374335,0.0026277147920964,6386,14497,11440,31.0
33,New Hampshire,45,0.5,0.231163045177427,0.00562763795529154,0.66718774425512,0.0497498827575426,0.000527591058308582,0.00145560924095407,5252,13867,18315,18.8
34,Maine,31,0.5,0.214589536367503,0.00348787749893662,0.618290089323692,0.0505529561888558,0.00484900042535091,0.00117579066940354,5956,14822,12831,17.8
35,Montana,42.2,0.5,0.248815643584316,0.00365386553774821,0.477497228102006,0.0214444108456809,0.230344723314182,0.003842660211232,7542,15542,6649,23.2
36,Rhode Island,50,0.5,0.182375255325357,0.00907499270498979,0.493726291216808,0.174146483805077,0.00140064196089875,0.00208125806880828,5771,9935,7706,29.0
37,Delaware,64.5,0.5,0.220964810837601,0.00341428492758412,0.356765240376673,0.356462360262129,0.000385483782146594,0.00474942414658191,8846,10952,6401,27.4
38,South Dakota,40,0.5,0.233073367087015,0.0036950847510928,0.269772634359571,0.0428787068775748,0.34700776753986,0.00367807291041443,7145,21108,18395,25.0
39,North Dakota,46,0.5,0.229887914670523,0.00463255898038507,0.45536924884751,0.0819849950284733,0.171562867215041,0.00221826636269597,5169,17156,10070,24.0
40,Alaska,63.2,0.5,0.195011999740546,0.0282804696114679,0.339138613219174,0.0471557371732503,0.26289161315431,0.00619753476739991,6762,8804,6684,37.8
