,State,RecidivismRate,PrisonPopulation,ImprisonmentRate,Population,qualityoflifetotalscore,QualityOfLifeAffordability,QualityOfLifeEconomy,QualityOfLifeEducationAndHealth,QualityOfLifeSafety,Male,Female,Total,Rape,Arson,Fraud,Larceny,Robbery,Runaway,Weapons,Burglary,Gambling,Vagrancy,Suspicion,Vandalism,Drunkenness,Embezzlement,Sex_Offenses,Rape_Legacy,Simple_Assault,Drug_Possession,Stolen_Property,Human_Trafficking,Aggravated_Assault,All_Other_Offenses,Disorderly_Conduct,Motor_Vehicle_Theft,Drug_Abuse_Violations,Liquor_Law_Violations,Counterfeiting_or_Forgery,Drug_Sale_or_Manufacturing,Drive_Under_the_Influence,Manslaughter_by_Negligence,Murder_and_Nonnegligent_Homicide,Curfew_and_Loitering_Law_Violations,Prostitution_and_Commercialized_Vice,Offenses_Against_the_Family_and_Children,Asian,White,Unknown,Multiple,NotSpecified,Black,NativeAmerican,NativeHawaiianOrPacificIslander,Male_Age_15,Male_Age_16,Male_Age_17,Male_Age_18,Male_Age_19,Male_Age_20,Male_Age_21,Male_Age_22,Male_Age_23,Male_Age_24,Male_Age_10_12,Male_Age_11_12,Male_Age_13_14,Male_Age_25_29,Male_Age_30_34,Male_Age_35_39,Male_Age_40_44,Male_Age_45_49,Male_Age_50_54,Male_Age_55_59,Male_Age_60_64,Male_Age_Under_10,Male_Age_Under_11,Male_Age_65_and_over,Male_Age_Adult_Other,Male_Age_Juvenile_Other,Female_Age_15,Female_Age_16,Female_Age_17,Female_Age_18,Female_Age_19,Female_Age_20,Female_Age_21,Female_Age_22,Female_Age_23,Female_Age_24,Female_Age_10_12,Female_Age_11_12,Female_Age_13_14,Female_Age_25_29,Female_Age_30_34,Female_Age_35_39,Female_Age_40_44,Female_Age_45_49,Female_Age_50_54,Female_Age_55_59,Female_Age_60_64,Female_Age_Under_10,Female_Age_Under_11,Female_Age_65_and_over,Female_Age_Adult_Other,Female_Age_Juvenile_Other
20,Louisiana,32,27267,589.68,4597740,37,19,45,49,35,73308,28896,146616,0,135,585,14132,850,0,3535,3487,26,7,0,3245,58,136,591,314,18686,17217,2853,2,6769,17591,3911,1324,659,796,397,1713,3203,34,368,89,121,654,299,41286,1223,0,0,59167,208,21,1754,2097,1739,2133,2181,2035,1989,2033,2017,1846,859,0,2275,9346,9827,8954,7540,4735,3656,3049,1803,7,0,1433,0,0,830,785,630,775,790,871,841,829,806,773,392,0,1124,3707,4145,3917,2889,1803,1210,929,527,0,0,323,0,0
21,Kentucky,46.4,19861,440.44,4588372,47,10,42,41,30,143489,57155,286978,0,74,914,6891,417,0,722,1914,2,12,0,1313,0,290,288,293,11445,14447,1832,2,2018,131682,3519,774,16,20,483,3792,13153,44,165,0,12,4128,462,160833,2772,0,0,36194,149,234,527,537,534,1674,2048,2144,2605,2762,3090,3144,174,0,629,18107,22229,22060,21112,15293,10706,7079,4354,7,0,2674,0,0,159,168,170,540,696,849,956,1079,1168,1169,76,0,253,7084,9553,10481,9253,5963,3583,2115,1224,1,0,615,0,0
22,Oklahoma,25,22871,573.69,4095393,35,14,32,47,46,60047,25337,120094,0,130,842,8823,472,0,2604,2191,1,241,0,1483,0,236,155,129,9432,10147,1444,5,3714,26343,2288,1135,37,914,262,2157,9132,18,146,322,318,301,854,54077,1612,0,0,19480,9240,121,885,1016,986,1279,1411,1457,1499,1460,1561,1532,314,0,1175,7577,8905,7996,7146,4570,3529,2571,1920,19,0,1239,0,0,393,386,443,467,516,596,587,604,645,652,218,0,658,3185,3962,3697,3284,1901,1410,875,518,3,0,337,0,0
23,Connecticut,37,10088,279.79,3675069,24,45,46,3,14,52619,20714,105238,0,63,470,6959,536,0,1386,899,5,8,0,1496,0,84,234,178,13977,2261,349,4,1702,23343,9314,911,117,37,274,824,6319,22,74,4,36,1569,549,46987,1389,0,0,24038,365,5,657,802,856,956,930,969,1085,1179,1283,1388,223,0,903,7421,8475,7112,5906,3873,3043,2521,1707,3,0,1327,0,0,334,342,341,371,382,438,457,475,537,536,101,0,417,2938,3379,3084,2408,1432,1044,797,538,0,0,363,0,0
24,Nevada,28.6,10314,328.05,3267467,19,39,41,35,18,79231,31225,158462,0,166,1106,5828,1296,0,3420,2673,236,472,0,2168,0,235,389,278,20603,8182,2391,53,5066,34885,2989,934,155,1376,284,810,11539,2,188,169,2305,649,2772,68989,1993,0,0,34485,1537,680,1278,1232,1155,1166,1193,1299,1333,1519,1590,1830,591,0,1587,10757,13452,11543,9187,5882,4589,3629,2459,12,0,1948,0,0,636,601,474,466,579,594,778,871,885,828,315,0,856,4880,5162,4423,3349,1903,1430,1004,582,1,0,608,0,0
25,Iowa,34.2,9345,292.66,3241488,17,20,28,18,21,54161,21927,108322,0,112,1020,7863,247,0,871,1096,14,17,0,2097,0,118,104,239,9458,9338,371,3,3606,25000,754,733,79,1855,308,918,9451,13,71,23,26,376,1088,55763,1280,0,0,16790,804,363,1178,1314,1139,1553,1538,1509,1397,1302,1356,1323,546,0,1546,6913,7803,6920,5630,3792,2742,2130,1520,25,0,985,0,0,614,622,567,675,673,618,595,585,553,590,230,0,818,2688,3096,2796,2318,1525,966,657,455,9,0,277,0,0
26,Arkansas,57,17432,576.09,3088354,46,4,34,45,47,75442,34011,150884,0,36,529,8272,326,0,929,1630,2,232,0,1511,0,29,88,285,11851,13103,1471,1,4883,49650,3190,501,64,1238,511,1820,6548,13,173,282,15,336,738,70321,1710,0,0,35495,252,937,1179,1361,1352,1587,1763,1754,1789,1972,1933,1921,445,0,1345,10176,11091,9614,8514,5981,4393,3418,2327,5,0,1522,0,0,562,566,562,625,675,676,790,794,868,955,221,0,858,4765,5348,4886,3999,2701,1820,1190,702,2,0,446,0,0
27,Kansas,36,8430,287.26,2970606,27,24,19,28,25,49504,20510,99008,0,82,379,5828,274,0,843,755,0,0,0,2243,0,66,135,153,10386,9319,541,0,2995,22418,1817,437,27,1810,154,1288,7582,4,93,0,131,281,646,53937,0,0,0,14774,657,0,895,919,1004,1434,1368,1394,1385,1396,1333,1318,350,0,821,7004,7170,6457,5307,3283,2430,1917,1352,1,0,966,0,0,399,473,448,591,603,562,595,584,604,578,174,0,547,2829,3060,2659,2289,1328,881,615,382,2,0,307,0,0
28,Mississippi,33,19399,657.60,2943045,49,7,49,50,34,38625,15402,77250,0,26,344,3401,89,0,813,599,5,15,0,376,0,212,47,60,4434,7833,483,3,724,17122,3869,283,22,506,89,611,11464,5,76,25,10,508,143,22274,865,0,0,30119,299,327,372,408,514,1031,1156,1213,1240,1176,1168,1140,54,0,406,5669,5657,4735,4158,2776,2143,1636,1146,0,0,827,0,0,148,141,171,354,437,479,491,475,545,491,44,0,227,2405,2518,2012,1695,1100,729,512,270,1,0,157,0,0
29,New Mexico,49.1,5414,255.87,2130256,30,26,36,42,50,36395,14450,72790,0,39,201,3861,200,0,664,830,1,300,0,1589,0,113,59,46,10251,3959,973,1,3137,15240,1745,347,46,904,53,279,5423,12,52,0,3,564,175,35258,2571,0,0,2803,9976,62,314,313,300,510,598,562,790,854,978,993,129,0,410,5418,6554,5436,4282,2841,1992,1464,954,6,0,697,0,0,160,134,115,204,272,259,335,366,411,466,102,0,284,2280,2722,2201,1625,945,682,420,272,2,0,193,0,0
